"Permission Key","Area","Description","Super Admin","Admin/Manager","Sales/Consultant","Documentation","Processing","Finance","Support","Marketing","Client","Partner/Referral","Conditions/Notes"
"documents.view_all","Documents","View all client documents","yes","yes","no","no","no","no","no","no","no","no","Signed URL after permission check"
"documents.view_assigned","Documents","View assigned or department documents","yes","yes","assigned","department","department","finance_related","support_related","no","own","no","Signed URL after permission check"
"documents.review","Documents","Review document and add notes","yes","yes","no","yes","limited","no","no","no","no","no","Review does not equal final legal decision"
"documents.verify","Documents","Mark document verified","yes","yes","no","yes","limited","no","no","no","no","no","Audit required"
"documents.reject","Documents","Reject or request replacement","yes","yes","no","yes","limited","no","no","no","no","no","Reason required and client notification"
"appointments.view_all","Appointments","View all appointment calendars","yes","yes","no","no","no","no","limited","no","no","no","Admin calendar scope"
"appointments.view_assigned","Appointments","View assigned appointments","yes","yes","yes","yes","yes","finance_related","yes","no","own","no","Client sees own only"
"appointments.book","Appointments","Book appointment","yes","yes","assigned","department_limited","department_limited","finance_followup","support","no","request_only","no","Availability and appointment type rules required"
"appointments.manage","Appointments","Reschedule cancel or override appointment","yes","yes","assigned","department_limited","department_limited","finance_followup","support","no","own_request","no","Audit changes"
"communications.view_all","Communications","View all conversations","yes","yes","no","no","no","no","limited","no","no","no","Admin/supervisor only"
"communications.view_assigned","Communications","View assigned conversations","yes","yes","assigned","department_limited","department_limited","finance_related","support","marketing_campaign","own_visible","no","Backend checks conversation ownership"
"communications.send_whatsapp","Communications","Send WhatsApp message","yes","yes","assigned","department_limited","department_limited","finance_related","support","campaign_approved","no","no","Template and opt-in rules required"
"communications.manage_templates","Communications","Manage WhatsApp/email templates","yes","yes","no","no","no","no","limited","limited","no","no","Meta policy and approval process required"
"communications.handover","Communications","Take over bot conversation or hand to employee","yes","yes","assigned","department_limited","department_limited","no","support","no","no","no","Audit handover"
"finance.view_all","Finance","View all finance records","yes","yes","no","no","no","yes","no","no","no","no","Finance/admin only"
"finance.view_related","Finance","View related payment status","yes","yes","assigned_limited","department_limited","department_limited","yes","support_limited","no","own_visible","no","Hide internal finance notes from client"
"finance.create_payment","Finance","Create payment record","yes","yes","no","no","no","yes","no","no","no","no","Audit required"
"finance.verify_payment","Finance","Verify payment receipt","yes","yes","no","no","no","yes","no","no","no","no","Audit required"
"finance.manage_invoice","Finance","Create update invoice or receipt","yes","yes","no","no","no","yes","no","no","view_only","no","Client can view approved invoices/receipts only"
"finance.refund","Finance","Create or complete refund","yes","yes","no","no","no","yes","no","no","no","no","Requires approval workflow"
"reports.view","Reports","View reports dashboard","yes","yes","limited","department","department","finance","support","marketing","no","limited_own_referrals","Role scoped metrics only"
"reports.export","Reports","Export reports","yes","yes","no","no","no","limited","no","limited","no","no","Export log required"
"audit.view","Audit","View audit logs","yes","limited","no","no","no","no","no","no","no","no","Never expose raw audit to clients or partners"
"ai_jobs.create","AI","Request AI/OCR/transcription job","yes","yes","assigned","department","department","finance_related","support","marketing","no","no","Queue only; never request-response slow work"
"ai_outputs.review","AI","Review AI output","yes","yes","assigned","department","department","finance_related","support","marketing","no","no","AI assists only; human review required"
"ai_settings.manage","AI","Manage AI provider prompts templates limits","yes","limited","no","no","no","no","no","no","no","no","Prompt/template versioning required"
"partners.manage","Partners","Create update deactivate partner/referral account","yes","yes","no","no","no","no","no","no","no","no","Audit partner access changes"
"partners.view_referrals","Partners","View partner referrals","yes","yes","assigned_limited","no","no","finance_limited","support_limited","marketing_limited","no","own_only","Partner sees limited safe status"
"devices.manage","Devices","Manage employee device registry","yes","yes","no","no","no","no","no","no","no","no","Requires employee/device policy"
"attendance.check_in_out","Attendance","Employee attendance check in/out","yes","yes","yes","yes","yes","yes","yes","yes","no","no","Requires attendance policy"
"attendance.view_team","Attendance","View team attendance","yes","yes","manager_only","manager_only","manager_only","manager_only","manager_only","manager_only","no","no","Department scoped"
"attendance.override","Attendance","Manual attendance override","yes","yes","no","no","no","no","no","no","no","no","Audit required"
"notifications.manage","Notifications","Create system notification or broadcast","yes","yes","no","no","no","no","limited","limited","no","no","Role/recipient scoping required"
"integrations.manage","Integrations","Manage API credentials webhooks providers","yes","limited","no","no","no","no","no","no","no","no","No secrets in source code"
