"Week","Task","Module","Owner","Priority","Dependency","Deliverable","Acceptance Criteria"
"2","Implement audit log foundation","Audit","Backend Lead","High","Auth/RBAC","Audit service","Login role user lead assignment events can be recorded"
"2","Implement activity timeline foundation","Timeline","Backend Lead","High","Lead/client/case schema","Timeline service","Readable events can be attached to lead client case"
"2","Setup private storage signed URL flow","Storage/Documents","Backend/DevOps","High","Storage provider","Upload/signed URL test","No public file URL required for document access"
"2","Create design system token files","Frontend","Frontend Lead","High","Design starter","Token implementation","Light/dark theme tokens available to components"
"2","Create shared UI component starter","Frontend","Frontend Lead","High","Token files","Component starter","Button StatusBadge DataTable Empty Loading Error PermissionGate available"
"2","Deploy skeleton to staging","DevOps","DevOps Lead","High","Staging provider","Staging URL","Web and API health checks pass on staging"
"2","Prepare Flutter API contract","Mobile","Mobile Lead","Medium","Auth API","Mobile API plan","Flutter auth and dashboard contract documented"
"3","Build users roles departments management","Backend/Frontend","Full Stack Team","High","Auth/RBAC foundation","Admin user screens/APIs","Admin can create users assign roles departments and audit changes"
"3","Build lead CRM foundation","Leads","Full Stack Team","High","DB/RBAC","Lead CRUD/list/detail","Lead create list filter detail update works with permissions"
"3","Build lead assignment workflow","Leads","Backend/Frontend","High","Lead CRM","Assignment workflow","Admin can assign/reassign and audit captures old/new owner"
"3","Build duplicate lead check","Leads","Backend Lead","Medium","Lead schema","Duplicate warnings","Phone/email duplicate detection works"
"3","Build client/case base creation","Clients/Cases","Backend Lead","High","Lead conversion","Conversion workflow","Qualified lead converts to client and case with timeline/audit"
"3","Build admin/employee dashboards v1","Frontend","Frontend Lead","Medium","Lead/client APIs","Dashboards v1","Role scoped summary cards and queues display correctly"
"3","Build WhatsApp webhook skeleton","Communications","Backend Lead","High","Meta access or mock","Webhook endpoint","Webhook validation storage and retry plan implemented against mock if access pending"
"3","Build conversation storage model","Communications","Backend Lead","High","Webhook skeleton","Conversation APIs","Messages stored and scoped to assigned users"
"3","Build appointment foundation","Appointments","Full Stack Team","Medium","Users clients","Appointment CRUD","Appointment create list reschedule cancel works with audit"
"3","Build reports foundation","Reports","Backend Lead","Medium","Lead/client/case data","Report APIs v1","Daily operations and lead source metrics available"
"4","Build document requirement configuration","Documents","Full Stack Team","High","Services/countries confirmed","Document requirement admin","Admin can configure requirements by service and target country"
"4","Build client document upload workflow","Documents","Full Stack Team","High","Private storage","Document upload UI/API","Client/staff upload creates private file and document record"
"4","Build document review workflow","Documents","Full Stack Team","High","Document upload","Review actions","Documentation can verify reject request replacement with audit/timeline"
"4","Build case processing board v1","Processing","Full Stack Team","High","Case schema","Processing board","Processing department can update stages and add notes"
"4","Build finance payment foundation","Finance","Full Stack Team","High","Client/case schema","Payment queue","Finance can add verify payments and see client payment profile"
"4","Build invoice and receipt foundation","Finance","Full Stack Team","Medium","Payment foundation","Invoice/receipt v1","Invoices and receipts can be created and viewed by allowed users"
"4","Build client portal foundation","Client Portal","Frontend/Backend","High","Auth client APIs","Client dashboard v1","Client sees own case status documents appointments payments"
"4","Build partner portal foundation","Partner Portal","Frontend/Backend","Medium","Partner APIs","Partner dashboard v1","Partner can submit referral and view limited own referral status"
"4","Build AI job queue skeleton","AI","Backend/AI Lead","High","Redis/BullMQ","AI job pipeline","Backend enqueues job AI worker returns status/output against sample job"
"4","Build OCR/document classification mock","AI/Documents","AI Lead","Medium","AI job pipeline","OCR mock integration","Document job stores suggested classification and review status"
"4","Staging UAT checkpoint 1","QA/UAT","QA/Project Lead","Critical","Week 2-4 deliverables","UAT report","Critical Week 2-4 flows tested and blockers logged"
